i00_are0,i01_indx,i02_name,i03_rate,i04_year,i05_drct,i06_type,i07_long,i08_area,i09_cmnt,i10_sbid,i11_dlnk,i12_ilnk,i13_loop,i14_dtop,i15_seen
美国,16113,爱到天堂,7.2,1945,约翰·斯塔尔,"剧情,惊悚,黑色电影",110,美国,211,1292892,https://movie.douban.com/subject/1292892/,http://www.imdb.com/title/tt0037865,4577,,
英国,16114,欢乐的精灵,7.2,1945,大卫·里恩,"剧情,喜剧,爱情,奇幻",96,英国,137,1293057,https://movie.douban.com/subject/1293057/,http://www.imdb.com/title/tt0038363,3836,,
美国,16115,公主与海盗,7.2,1944,大卫·巴特勒,"喜剧,爱情,冒险",94,美国,54,1305747,https://movie.douban.com/subject/1305747/,http://www.imdb.com/title/tt0037193,4876,,
美国,16116,福尔摩斯和蜘蛛女,7.2,1944,罗伊·威廉·尼尔,"剧情,悬疑,惊悚",63,美国,79,1806924,https://movie.douban.com/subject/1806924/,http://www.imdb.com/title/tt0037303,9631,,
美国,16117,房东小姐,7.2,1943,乔治·史蒂文斯,"喜剧,爱情",104,美国,137,1293869,https://movie.douban.com/subject/1293869/,http://www.imdb.com/title/tt0036172,7159,,
美国,16118,与僵尸同行,7.2,1943,雅克·特纳,恐怖,69,美国,192,1307177,https://movie.douban.com/subject/1307177/,http://www.imdb.com/title/tt0036027,9439,,
英国,16119,与祖国同在,7.2,1942,大卫·里恩,"剧情,战争",115,英国,107,1292815,https://movie.douban.com/subject/1292815/,http://www.imdb.com/title/tt0034891,4213,,
美国,16120,纳粹狼的闪电战,7.2,1942,特克斯·艾弗里,"喜剧,动画,短片,家庭,战争",,美国,101,2079483,https://movie.douban.com/subject/2079483/,http://www.imdb.com/title/tt0034524,11735,,
美国,16121,海外特派员,7.2,1940,阿尔弗雷德·希区柯克,"爱情,悬疑,惊悚,战争",120,美国,897,1295082,https://movie.douban.com/subject/1295082/,http://www.imdb.com/title/tt0032484,1654,,
英国,16122,煤气灯下,7.2,1940,Thorold,"悬疑,惊悚",84,英国,138,1297355,https://movie.douban.com/subject/1297355/,http://www.imdb.com/title/tt0031359,2867,,
美国,16123,银河,7.2,1940,鲁道夫·伊辛,"喜剧,动画,短片,歌舞,奇幻",8,美国,658,1298690,https://movie.douban.com/subject/1298690/,http://www.imdb.com/title/tt0032794,9009,,
美国,16124,海鹰,7.2,1940,迈克尔·柯蒂斯,"动作,爱情,冒险",127,美国,46,1298888,https://movie.douban.com/subject/1298888/,http://www.imdb.com/title/tt0033028,7777,,
英国,16125,Swinging,7.2,1940,Len Lye,"动画,短片",,英国,59,1774020,https://movie.douban.com/subject/1774020/,http://www.imdb.com/title/tt0033123,17187,,
