i00_are0,i01_indx,i02_name,i03_rate,i04_year,i05_drct,i06_type,i07_long,i08_area,i09_cmnt,i10_sbid,i11_dlnk,i12_ilnk,i13_loop,i14_dtop
香港,82,射雕英雄传之东成西就,8.7,1993,刘镇伟,"喜剧,古装",100,香港,262887,1316510,https://movie.douban.com/subject/1316510/,http://www.imdb.com/title/tt0108074,134,84,
香港,83,重庆森林,8.6,1994,王家卫,"剧情,爱情",102,香港,311325,1291999,https://movie.douban.com/subject/1291999/,http://www.imdb.com/title/tt0109424,10,85,
韩国,84,阳光姐妹淘,8.8,2011,姜炯哲,"剧情,喜剧",124,韩国,255696,4917726,https://movie.douban.com/subject/4917726/,http://www.imdb.com/title/tt1937339,26,86,
巴西,85,上帝之城,8.9,2002,卡迪亚·兰德,"剧情,犯罪",130,巴西 / 法国,152153,1292208,https://movie.douban.com/subject/1292208/,http://www.imdb.com/title/tt0317248,140,87,
美国,86,禁闭岛,8.6,2010,马丁·斯科塞斯,"剧情,悬疑,惊悚",138,美国,340138,2334904,https://movie.douban.com/subject/2334904/,http://www.imdb.com/title/tt1130884,89,88,
香港,87,甜蜜蜜,8.7,1996,陈可辛,"剧情,爱情",118,香港,222873,1305164,https://movie.douban.com/subject/1305164/,http://www.imdb.com/title/tt0117905,181,89,
美国,88,致命ID,8.6,2003,詹姆斯·曼高德,"剧情,悬疑,惊悚",90,美国,301457,1297192,https://movie.douban.com/subject/1297192/,http://www.imdb.com/title/tt0309698,44,90,
日本,89,告白,8.7,2010,中岛哲也,"剧情,惊悚",106,日本,323941,4268598,https://movie.douban.com/subject/4268598/,http://www.imdb.com/title/tt1590089,73,91,
台湾,90,一一,8.9,2000,杨德昌,"剧情,爱情,家庭",173,台湾 / 日本,146856,1292434,https://movie.douban.com/subject/1292434/,http://www.imdb.com/title/tt0244316,196,92,
美国,91,加勒比海盗,8.6,2003,戈尔·维宾斯基,"动作,奇幻,冒险",143,美国,324769,1298070,https://movie.douban.com/subject/1298070/,http://www.imdb.com/title/tt0325980,226,93,
丹麦,92,狩猎,9,2012,托马斯·温特伯格,剧情,115,丹麦 / 瑞典,116122,6985810,https://movie.douban.com/subject/6985810/,http://www.imdb.com/title/tt2106476,80,94,
美国,93,布达佩斯大饭店,8.7,2014,韦斯·安德森,"剧情,喜剧",100,美国 / 德国 / 英国,288952,11525673,https://movie.douban.com/subject/11525673/,http://www.imdb.com/title/tt2278388,208,95,
美国,94,爱在黎明破晓前,8.7,1995,理查德·林克莱特,"剧情,爱情",101,美国 / 奥地利 / 瑞士,207837,1296339,https://movie.douban.com/subject/1296339/,http://www.imdb.com/title/tt0112471,130,96,
美国,95,断背山,8.6,2005,李安,"剧情,爱情,同性,家庭",134,美国 / 加拿大,302965,1418834,https://movie.douban.com/subject/1418834/,http://www.imdb.com/title/tt0388795,228,97,
美国,96,阿凡达,8.6,2009,詹姆斯·卡梅隆,"动作,科幻,奇幻,冒险",162,美国 / 英国,505672,1652587,https://movie.douban.com/subject/1652587/,http://www.imdb.com/title/tt0499549,38,98,
日本,97,风之谷,8.8,1984,宫崎骏,"科幻,动画,奇幻,冒险",117,日本,167406,1291585,https://movie.douban.com/subject/1291585/,http://www.imdb.com/title/tt0087544,194,99,
美国,98,摩登时代,9.2,1936,查理·卓别林,"剧情,喜剧,爱情",87,美国,81898,1294371,https://movie.douban.com/subject/1294371/,http://www.imdb.com/title/tt0027977,223,100,
意大利,99,末代皇帝,8.8,1987,贝纳尔多·贝托鲁奇,"剧情,传记,历史",163,意大利 / 中国大陆 / 英国 / 法国,151784,1293172,https://movie.douban.com/subject/1293172/,http://www.imdb.com/title/tt0093389,150,101,
美国,100,猫鼠游戏,8.7,2002,史蒂文·斯皮尔伯格,"剧情,传记,犯罪",141,美国 / 加拿大,206654,1305487,https://movie.douban.com/subject/1305487/,http://www.imdb.com/title/tt0264464,94,102,
美国,101,爱在日落黄昏时,8.7,2004,理查德·林克莱特,"剧情,爱情",80,美国,188799,1291990,https://movie.douban.com/subject/1291990/,http://www.imdb.com/title/tt0381681,173,103,
日本,102,萤火虫之墓,8.7,1988,高畑勋,"剧情,动画,战争",89,日本,194249,1293318,https://movie.douban.com/subject/1293318/,http://www.imdb.com/title/tt0095327,91,104,
日本,103,侧耳倾听,8.8,1995,近藤喜文,"剧情,爱情,动画,音乐",111,日本,158271,1297052,https://movie.douban.com/subject/1297052/,http://www.imdb.com/title/tt0113824,207,105,
美国,104,哈利·波特与魔法石,8.6,2001,克里斯·哥伦布,"奇幻,冒险",152,美国 / 英国,234033,1295038,https://movie.douban.com/subject/1295038/,http://www.imdb.com/title/tt0241527,137,106,
美国,105,驯龙高手,8.7,2010,迪恩·德布洛斯,"喜剧,动画,家庭,奇幻,冒险",98,美国,270062,2353023,https://movie.douban.com/subject/2353023/,http://www.imdb.com/title/tt0892769,218,107,
美国,106,超脱,8.7,2011,托尼·凯耶,剧情,97,美国,162293,5322596,https://movie.douban.com/subject/5322596/,http://www.imdb.com/title/tt1683526,214,108,
英国,107,穿条纹睡衣的男孩,8.8,2008,马克·赫尔曼,"剧情,战争",94,英国 / 美国,130627,3008247,https://movie.douban.com/subject/3008247/,http://www.imdb.com/title/tt0914798,28,109,
法国,108,海洋,9,2009,雅克·贝汉,纪录片,104,法国 / 瑞士 / 西班牙 / 美国 / 阿联酋,95825,3443389,https://movie.douban.com/subject/3443389/,http://www.imdb.com/title/tt0765128,67,110,
美国,109,幸福终点站,8.6,2004,史蒂文·斯皮尔伯格,"剧情,喜剧,爱情",128,美国,215709,1292274,https://movie.douban.com/subject/1292274/,http://www.imdb.com/title/tt0362227,141,111,
美国,110,消失的爱人,8.7,2014,大卫·芬奇,"剧情,悬疑,惊悚,犯罪",149,美国,329115,21318488,https://movie.douban.com/subject/21318488/,http://www.imdb.com/title/tt2267998,197,112,
日本,111,菊次郎的夏天,8.7,1999,北野武,"剧情,喜剧",121,日本,169087,1293359,https://movie.douban.com/subject/1293359/,http://www.imdb.com/title/tt0199683,182,113,
香港,112,倩女幽魂,8.6,1987,程小东,"剧情,爱情,武侠,古装",98,香港,232120,1297447,https://movie.douban.com/subject/1297447/,http://www.imdb.com/title/tt0093978,231,114,
美国,113,燃情岁月,8.8,1994,爱德华·兹威克,"剧情,爱情,家庭,西部",133,美国,143586,1295865,https://movie.douban.com/subject/1295865/,http://www.imdb.com/title/tt0110322,198,115,
美国,114,神偷奶爸,8.5,2010,皮艾尔·柯芬,"喜剧,动画,儿童",95,美国,350276,3287562,https://movie.douban.com/subject/3287562/,http://www.imdb.com/title/tt1323594,104,116,
日本,115,七武士,9.2,1954,黑泽明,"剧情,动作,冒险",160,日本,71973,1295399,https://movie.douban.com/subject/1295399/,http://www.imdb.com/title/tt0047478,48,118,
美国,116,谍影重重3,8.7,2007,保罗·格林格拉斯,"动作,悬疑,惊悚",115,美国 / 德国,171530,1578507,https://movie.douban.com/subject/1578507/,http://www.imdb.com/title/tt0440963,185,119,
香港,117,岁月神偷,8.6,2010,罗启锐,"剧情,家庭",117,香港 / 中国大陆,292966,3792799,https://movie.douban.com/subject/3792799/,http://www.imdb.com/title/tt1602572,157,120,
日本,118,借东西的小人阿莉埃蒂,8.7,2010,米林宏昌,"动画,奇幻,冒险",94,日本,204273,4202302,https://movie.douban.com/subject/4202302/,http://www.imdb.com/title/tt1568921,244,121,
