i00_are0,i01_indx,i02_name,i03_rate,i04_year,i05_drct,i06_type,i07_long,i08_area,i09_cmnt,i10_sbid,i11_dlnk,i12_ilnk,i13_loop,i14_dtop,
法国,4516,轮舞,8,1950,马克斯·奥菲尔斯,"剧情,爱情",97,法国,540,1294304,https://movie.douban.com/subject/1294304/,http://www.imdb.com/title/tt0042906,4516,,
美国,9684,轮椅上的竞技,8,2005,Henry Alex Rubin,"纪录片,运动",85,美国,85,1427849,https://movie.douban.com/subject/1427849/,http://www.imdb.com/title/tt0436613,9684,,
美国,5870,罗贝尔塔,7.5,1935,William A. Seiter,"喜剧,爱情,歌舞",106,美国,45,2568121,https://movie.douban.com/subject/2568121/,http://www.imdb.com/title/tt0026942,5870,,
美国,21563,罗宾.胡德逃生,8.7,1958,Joseph Barbera,"喜剧,动画,短片,家庭",,美国,131,2137200,https://movie.douban.com/subject/2137200/,http://www.imdb.com/title/tt0052140,21563,,
美国,6463,罗宾·威廉姆斯：自毁武器,8.5,2009,Marty Callner,"喜剧,舞台艺术",90,美国,222,4186456,https://movie.douban.com/subject/4186456/,http://www.imdb.com/title/tt1560169,6463,,
美国,8395,罗宾·威廉斯-百老汇现场,8.4,2002,Marty Callner,,,美国,170,2029873,https://movie.douban.com/subject/2029873/,http://www.imdb.com/title/tt0330829,8395,,
美国,4172,罗宾汉,7.9,1973,沃夫冈·雷瑟曼,"爱情,动画,家庭,冒险",83,美国,1115,1300863,https://movie.douban.com/subject/1300863/,http://www.imdb.com/title/tt0070608,4172,,
日本,15305,罗宾计划,8,2008,水谷俊之,悬疑,118,日本,1346,3235947,https://movie.douban.com/subject/3235947/,,15305,,
美国,4127,罗伯茨先生,7.9,1955,约翰·福特,"剧情,喜剧,战争",123,美国,316,1293725,https://movie.douban.com/subject/1293725/,http://www.imdb.com/title/tt0048380,4127,,
美国,9219,罗伯特·梅普勒索普,8.1,2016,Fenton Bailey,纪录片,109,美国 / 德国,65,26681645,https://movie.douban.com/subject/26681645/,http://www.imdb.com/title/tt5275838,9219,,
法国,804,罗丹的情人,8.1,1988,布鲁诺·努坦,"剧情,爱情,传记,历史",175,法国,18096,1293466,https://movie.douban.com/subject/1293466/,http://www.imdb.com/title/tt0094828,804,,
法国,5403,罗尔娜的沉默,7.5,2008,让-皮埃尔·达内,剧情,105,法国 / 比利时 / 意大利 / 德国,2486,2999387,https://movie.douban.com/subject/2999387/,http://www.imdb.com/title/tt1186369,5403,,
美国,1254,罗杰和我,7.8,1989,迈克尔·摩尔,"纪录片,历史",91,美国,502,1302069,https://movie.douban.com/subject/1302069/,http://www.imdb.com/title/tt0098213,1254,,
原西德,11661,罗拉,7.6,1981,赖纳·维尔纳·法斯宾德,"剧情,喜剧",113,原西德,1095,1294129,https://movie.douban.com/subject/1294129/,http://www.imdb.com/title/tt0082671,11661,,
德国,403,罗拉快跑,8.1,1998,汤姆·提克威,"动作,惊悚,犯罪",81,德国,146623,1292275,https://movie.douban.com/subject/1292275/,http://www.imdb.com/title/tt0130827,403,,
美国,1513,罗拉秘史,7.9,1944,奥托·普雷明格,"剧情,爱情,悬疑,黑色电影",88,美国,1448,1294072,https://movie.douban.com/subject/1294072/,http://www.imdb.com/title/tt0037008,1513,,
美国,20415,罗伦佐,7,2004,迈克·加布里尔,"喜剧,动画,短片,家庭",,美国,92,2008224,https://movie.douban.com/subject/2008224/,http://www.imdb.com/title/tt0412936,20415,,
美国,2889,罗伦佐的油,8.6,1992,乔治·米勒,剧情,136,美国,595,1293497,https://movie.douban.com/subject/1293497/,http://www.imdb.com/title/tt0104756,2889,,
